"Country","Year","Month","Glm.simple","Lmer","Insurgency","SAE"
"CHINA",2009,6,0.204860228779297,0.19009222941525,0,0.00114786962828701
"CHINA",2009,7,0.204860228779297,0.188301958076501,0,0.00114786962828701
"CHINA",2009,8,0.204860228779297,0.207742832450364,0,0.00114786962828701
"CHINA",2009,9,0.204860228779297,0.214790467338193,0,0.00217465013345596
"CHINA",2010,1,0.204860228779297,0.209391166317913,0,0.000433949705531814
"CHINA",2010,10,0.204860228779297,0.17852318256052,0,0.000433949705531814
"CHINA",2010,11,0.204860228779297,0.17625201633761,0,0.000433949705531814
"CHINA",2010,12,0.204860228779297,0.174075797674925,0,0.000433949705531814
"CHINA",2010,2,0.204860228779297,0.196770854145226,0,0.000433949705531814
"CHINA",2010,3,0.204860228779297,0.281288110521256,0,0.000433949705531814
"CHINA",2010,4,0.204860228779297,0.230904139136363,0,0.000433949705531814
"CHINA",2010,5,0.204860228779297,0.2408452430313,0,0.000433949705531814
"CHINA",2010,6,0.204860228779297,0.319031816876835,0,0.000433949705531814
"CHINA",2010,7,0.204860228779297,0.272146512484633,0,0.000433949705531814
"CHINA",2010,8,0.204860228779297,0.288770638945626,0,0.000433949705531814
"CHINA",2010,9,0.204860228779297,0.227943479008728,0,0.000323863057668315
"COMOROS",2009,1,0.11123823732068,0.0672726912367807,0,0.1300421531175
"COMOROS",2009,10,0.11123823732068,0.069511801566221,0,0.1300421531175
"COMOROS",2009,11,0.11123823732068,0.0705252826337318,0,0.1300421531175
"COMOROS",2009,12,0.11123823732068,0.0710536970426165,0,0.1300421531175
"COMOROS",2009,2,0.11123823732068,0.0682559208681804,0,0.1300421531175
"COMOROS",2009,3,0.11123823732068,0.0691554297759206,0,0.1300421531175
"COMOROS",2009,4,0.11123823732068,0.0701641067479553,0,0.1300421531175
"COMOROS",2009,5,0.11123823732068,0.0711531809416076,0,0.1300421531175
"COMOROS",2009,6,0.11123823732068,0.0702624393195337,0,0.1300421531175
"COMOROS",2009,7,0.11123823732068,0.0692848234051791,0,0.1300421531175
"COMOROS",2009,8,0.11123823732068,0.0682878586509659,0,0.1300421531175
"COMOROS",2009,9,0.11123823732068,0.0685438598707883,0,0.1300421531175
"COMOROS",2010,1,0.11123823732068,0.0707560156179057,0,0.130050832453643
"COMOROS",2010,10,0.11123823732068,0.0622571809914565,0,0.130050832453643
"COMOROS",2010,11,0.11123823732068,0.0613546733041232,0,0.130050832453643
"COMOROS",2010,12,0.11123823732068,0.0604929339189642,0,0.130050832453643
"COMOROS",2010,2,0.11123823732068,0.0697394675937241,0,0.130050832453643
"COMOROS",2010,3,0.11123823732068,0.0688329238153232,0,0.130050832453643
"COMOROS",2010,4,0.11123823732068,0.0678419876242922,0,0.130050832453643
"COMOROS",2010,5,0.11123823732068,0.0668956261934685,0,0.130050832453643
"COMOROS",2010,6,0.11123823732068,0.0659306051104493,0,0.130050832453643
"COMOROS",2010,7,0.11123823732068,0.065009047024437,0,0.130050832453643
"COMOROS",2010,8,0.11123823732068,0.0640693726257541,0,0.130050832453643
"COMOROS",2010,9,0.11123823732068,0.0631423635028387,0,0.130050832453643
"FIJI",2009,1,0.10984703600051,0.0827783784628121,0,0.000604584254145835
"FIJI",2009,10,0.10984703600051,0.0937983865775081,0,0.000604584254145835
"FIJI",2009,11,0.10984703600051,0.0951297639942673,0,0.000604584254145835
"FIJI",2009,12,0.10984703600051,0.0964342695776483,0,0.000604584254145835
"FIJI",2009,2,0.10984703600051,0.0839678311035991,0,0.000604584254145835
"FIJI",2009,3,0.10984703600051,0.0861014778528724,0,0.000604584254145835
"FIJI",2009,4,0.10984703600051,0.0862745925144823,0,0.000783020724066173
"FIJI",2009,5,0.10984703600051,0.0874694060183417,0,0.000604584254145835
"FIJI",2009,6,0.10984703600051,0.0887197446582344,0,0.000604584254145835
"FIJI",2009,7,0.10984703600051,0.0910452149208973,0,0.000611606483124665
"FIJI",2009,8,0.10984703600051,0.0923414958186672,0,0.000604584254145835
"FIJI",2009,9,0.10984703600051,0.0925258863835187,0,0.000604584254145835
"FIJI",2010,1,0.10984703600051,0.0977990230348079,0,0.00060486136397208
"FIJI",2010,10,0.10984703600051,0.110577607388346,0,0.00060486136397208
"FIJI",2010,11,0.10984703600051,0.112117683235816,0,0.00060486136397208
"FIJI",2010,12,0.10984703600051,0.113625890225421,0,0.00060486136397208
"FIJI",2010,2,0.10984703600051,0.099180970657105,0,0.00060486136397208
"FIJI",2010,3,0.10984703600051,0.100444090284911,0,0.00060486136397208
"FIJI",2010,4,0.10984703600051,0.101859194201229,0,0.00060486136397208
"FIJI",2010,5,0.10984703600051,0.103245450704779,0,0.00060486136397208
"FIJI",2010,6,0.10984703600051,0.104695428132285,0,0.00060486136397208
"FIJI",2010,7,0.10984703600051,0.106115723880579,0,0.00060486136397208
"FIJI",2010,8,0.10984703600051,0.107601174590685,0,0.00060486136397208
"FIJI",2010,9,0.10984703600051,0.109104881192222,0,0.000627300688351708
"INDIA",2009,1,0.191656367445311,0.275828700655369,0,0.231480523585314
"INDIA",2009,10,0.191656367445311,0.261636406948567,1,0.35785138421371
"INDIA",2009,11,0.191656367445311,0.266403783581802,1,0.470250247695785
"INDIA",2009,12,0.191656367445311,0.268690803150873,1,0.693160786287099
"INDIA",2009,2,0.191656367445311,0.226114958853592,1,0.116936289875521
"INDIA",2009,3,0.191656367445311,0.230949948052083,1,0.202787368348986
"INDIA",2009,4,0.191656367445311,0.287676787656919,1,0.0837694480640313
"INDIA",2009,5,0.191656367445311,0.248301112268774,1,0.0857973509964117
"INDIA",2009,6,0.191656367445311,0.289867474669753,1,0.23844864817778
"INDIA",2009,7,0.191656367445311,0.300638815060718,1,0.0899640275750522
"INDIA",2009,8,0.191656367445311,0.262389347896681,1,0.167702926705839
"INDIA",2009,9,0.191656367445311,0.256828622204334,1,0.238516770527929
"INDIA",2010,1,0.191656367445311,0.338651195712114,1,0.398295753279893
